rel	pid	cand_v	is_Table	is_DBpedia
0	table-0874-236-8	Kate_Nelligan	0	1
0	table-0874-236-8	Nia_Long	0	1
0	table-0874-236-8	Nominated	1	0
0	table-0874-236-8	TriStar_Pictures	0	1
0	table-0874-236-8	Sandra_Bullock	0	1
0	table-0874-236-8	Bridgette_Hanson	1	0
0	table-0874-236-8	Jim_Hanson	1	0
0	table-0874-236-8	Adam_Shankman	0	1
0	table-0874-236-8	Ashok_Amritraj	0	1
0	table-0874-236-8	Amber_Valletta	0	1
0	table-0874-236-8	Bob	1	0
0	table-0874-236-8	NA	1	0
0	table-0874-236-8	Offspring_Entertainment	0	1
0	table-0874-236-8	Linda_Hanson	1	0
0	table-0874-236-8	Premonition	0	1
0	table-0874-236-8	Courtney_Taylor_Burness	0	1
0	table-0874-236-8	Neil_Travis	0	1
0	table-0874-236-8	Torsten_Lippstock	0	1
0	table-0874-236-8	Dr._Roth	1	0
0	table-0874-236-8	Premonition_(2007_film)	1	0
0	table-0874-236-8	Klaus_Badelt	0	1
0	table-0874-236-8	Metro-Goldwyn-Mayer	0	1
0	table-0874-236-8	Sunil_Perkash	0	1
0	table-0874-236-8	Nick_Hamson	0	1
1	table-0874-236-8	Norio_Tsuruta	1	0
0	table-0874-236-8	Shyann_McClure	0	1
1	table-0874-236-8	Mennan_Yapo	1	1
0	table-0874-236-8	Bill_Kelly_(writer)	0	1
0	table-0874-236-8	Jon_Jashni	0	1
0	table-0874-236-8	Claire	1	0
0	table-0874-236-8	Julian_McMahon	0	1
0	table-0874-236-11	The_Dinner	0	1
0	table-0874-236-11	Brian_Rubs_Ear	0	1
0	table-0874-236-11	The_Cemetery	0	1
0	table-0874-236-11	Cold_Turkey_2	0	1
0	table-0874-236-11	Jerry_Takes_Test	0	1
0	table-0874-236-11	Audrey_Brings_Clothes	0	1
0	table-0874-236-11	The_Funeral	0	1
0	table-0874-236-11	Audrey's_Upset	0	1
0	table-0874-236-11	Brian_Dies	0	1
1	table-0874-236-11	Susanne_Bier	1	1
0	table-0874-236-11	Howard_Glassman	1	0
0	table-0874-236-11	Audrey_Breaks_Down	0	1
0	table-0874-236-11	Allan_Loeb	0	1
0	table-0874-236-11	Audrey_Throws_Out_Jerry	0	1
0	table-0874-236-11	Jerry's_Apartment	0	1
0	table-0874-236-11	Jerry_by_Window	0	1
